チェックボックス,タスク名,担当者,優先度,ステータス,期限,カテゴリー,詳細・備考
No,申し込みページ最終動作確認,末武,🔴最優先,⬜未着手,2025/06/02 18:00,システム,フォーム送信テスト（全項目）、Notion連携確認、エラー処理の動作確認
No,Stripe決済フロー最終テスト,末武,🔴最優先,⬜未着手,2025/06/02 18:30,システム,テスト決済の実行、決済完了後の遷移確認、決済失敗時の案内表示確認
No,LP更新との連携最終調整,末武,🔴最優先,⬜未着手,2025/06/02 19:00,システム,申し込みボタンのリンク確認、デザイン上の表示崩れチェック、モバイル表示の最終確認
Yes,案内文言の最終確認・修正,末武,🔴最優先,⬜未着手,2025/06/02 19:30,システム,LINE公式アカウントへの誘導文追加、決済画面への案内文最適化、特商法・プライバシーポリシーリンク確認
No,顧客管理システム準備,ざわみさん・孝子さん,🔴最優先,⬜未着手,2025/06/02 18:00,運用,Notionデータベースの最終確認、チェックリスト項目の設定完了、決済者情報確認プロセスの準備
No,オープンチャット運用準備,ざわみさん・孝子さん,🔴最優先,⬜未着手,2025/06/02 19:00,運用,グループ設定の最終確認、参加者案内メッセージの準備、本名確認プロセスの手順確認
No,ローンチ後モニタリング体制,全員,🟡重要,⬜未着手,2025/06/02 20:00-22:00,監視,申し込み状況のリアルタイム確認、システムエラー監視、顧客からの質問対応準備
No,LINE公式アカウント監視,末武,🟡重要,⬜未着手,2025/06/02 20:00-終了,顧客対応,質問対応の即時返信、システム不具合の緊急対応、決済トラブル時のサポート
No,申し込み者情報の即時処理,ざわみさん・孝子さん,🟡重要,⬜未着手,2025/06/02 20:00-終了,運用,決済完了者のリスト作成、オープンチャット招待準備、参加者への初回案内送信
No,システム障害時の代替手段準備,全員,🔵予備,⬜未着手,2025/06/02 19:30,緊急対応,手動申し込み受付フォームの準備、電話・メール対応体制の確認、障害時のお詫び文案の準備